day,section,8-9,9-10,10-11,11-12,12-1,1-2,2-3,3-4,4-5,5-6
monday,CSE-31,DSS,STW,COA,X,X,X,OS(L),OS(L),OS,X
tuesday,CSE-31,X,X,X,X,X,X,X,X,X,X
wednesday,CSE-31,X,X,X,COA,STW,DSS,X,X,VT(L),VT(L)
thursday,CSE-31,X,X,X,DBMS,COA,OOPJ,X,DSS,OOPJ(L),OOPJ(L)
friday,CSE-31,X,X,X,OS,OOPJ,DBMS,X,DSS,STW,COA
saturday,CSE-31,X,X,X,OOPJ,DBMS,X,X,OS,DBMS(L),DBMS(L)
monday,CSE-32,DSS,COA,STW,X,VT(L),VT(L),X,X,X,X
tuesday,CSE-32,OOPJ,COA,DBMS,X,X,X,OOPJ(L),OOPJ(L),DSS,X
wednesday,CSE-32,X,X,X,X,X,X,X,X,X,X
thursday,CSE-32,OS,STW,OOPJ,DSS,COA,DBMS,X,X,X,X
friday,CSE-32,X,OS(L),OS(L),COA,OS,DSS,X,X,X,X
saturday,CSE-32,X,OOPJ,DBMS,OS,DBMS(L),DBMS(L),X,X,X,X
monday,CSE-33,X,X,X,X,COA,DSS,X,X,VT(L),VT(L)
tuesday,CSE-33,X,X,X,STW,COA,DBMS,X,OS,OOPJ(L),OOPJ(L)
wednesday,CSE-33,DSS,STW,OS,X,X,X,OS(L),OS(L),OOPJ,X
thursday,CSE-33,X,X,X,COA,STW,DSS,X,OS,DBMS,OOPJ
friday,CSE-33,X,X,X,DSS,DBMS(L),DBMS(L),X,OOPJ,DBMS,COA
saturday,CSE-33,X,X,X,X,X,X,X,X,X,X
monday,CSE-34,DBMS,STW,COA,DSS,OOPJ(L),OOPJ(L),X,X,X,X
tuesday,CSE-34,STW,DSS,OOPJ,X,VT(L),VT(L),X,X,X,X
wednesday,CSE-34,DSS,DBMS(L),DBMS(L),OS,OOPJ,COA,X,X,X,X
thursday,CSE-34,DBMS,COA,DSS,X,X,X,OS(L),OS(L),OS,X
friday,CSE-34,X,X,X,X,X,X,X,X,X,X
saturday,CSE-34,X,X,OS,DBMS,OOPJ,COA,X,X,X,X
monday,CSE-35,X,X,X,DSS,DBMS(L),DBMS(L),X,DBMS,OS,COA
tuesday,CSE-35,X,X,X,COA,OOPJ,STW,X,X,VT(L),VT(L)
wednesday,CSE-35,X,X,X,COA,OS(L),OS(L),X,DSS,OOPJ,X
thursday,CSE-35,X,X,X,COA,OS,OOPJ,X,DBMS,STW,DSS
friday,CSE-35,DBMS,STW,DSS,X,X,X,OOPJ(L),OOPJ(L),OS,X
saturday,CSE-35,X,X,X,X,X,X,X,X,X,X
monday,CSE-36,X,X,X,X,X,X,X,X,X,X
tuesday,CSE-36,COA,OOPJ(L),OOPJ(L),DBMS,DSS,OOPJ,X,X,X,X
wednesday,CSE-36,COA,OOPJ,DSS,X,VT(L),VT(L),X,X,X,X
thursday,CSE-36,DSS,STW,DBMS,OS,OS(L),OS(L),X,X,X,X
friday,CSE-36,DBMS,STW,DSS,OOPJ,OS,COA,X,X,X,X
